Response ID,Date,study,cond,CHANGE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N,PRE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N
R_Qhaw8VvB42FVctP,1,2,2,,8,31,23,-24,11,25,-12,0,-75,-21,-32,0,,90,69,77,100,89,75,12,28,100,33,32,0
R_1gFow00X7bSma5Q,1,2,2,,0,-19,-88,-52,0,-17,-11,20,-79,-49,-52,-2,,100,30,99,99,100,100,31,2,100,51,52,12
R_2YQHZWatLSA5aJW,1,2,1,,-4,29,-20,8,26,2,-41,-17,-27,-36,-54,-14,,65,64,80,85,68,62,58,51,94,72,90,30
R_3e2ZF3dynaBOAmv,1,2,2,,20,40,40,29,0,0,-90,-100,-100,-90,-40,-40,,80,60,30,71,90,50,90,100,100,90,40,40
R_9mEX8udER0kEDYd,1,2,2,,9,62,4,54,39,25,-53,-6,26,-45,-14,-71,,66,34,61,36,61,53,64,41,74,72,35,75
R_1dt26fcazdIx8lJ,1,2,2,,0,5,0,10,10,25,-25,-3,-35,-50,-5,5,,90,90,100,85,90,55,30,48,100,50,5,5
R_3PSlJ6NtDe5QM2h,1,2,1,,2,-19,-34,11,21,-9,26,-23,-72,-15,3,-12,,61,52,68,28,51,35,39,92,95,39,69,35
R_XS6IphTl84WyLxD,1,2,2,,-7,43,-70,-35,3,28,-49,-32,-62,-76,-65,-5,,30,55,96,87,85,52,52,52,80,83,66,9
R_3G0Njf7eEDbeAVH,1,2,2,,12,13,48,5,13,38,-24,-47,9,9,-10,41,,83,87,52,86,87,61,40,66,91,89,20,0
R_6lh18NXWUE5y4O5,1,2,1,,0,0,0,0,0,0,0,-100,0,-50,-100,0,,100,100,100,100,100,100,0,100,100,50,100,0
R_8jlXHRzCehyfe93,1,2,2,,-4,62,-30,-3,-40,6,4,-20,-33,-4,-10,42,,74,20,66,72,98,64,64,78,99,71,82,24
R_XWYvbRPJzpy8LrH,1,2,2,,-29,-63,1,-29,1,-11,5,-59,0,1,-60,0,,80,100,4,100,99,100,86,100,100,0,100,31
R_3mltwMXNn4WRZWE,1,2,2,,23,30,-6,0,-12,12,-53,-54,16,-58,4,12,,66,70,12,78,73,72,70,76,81,74,74,66
R_27rFsQ6mvT6ZrW0,1,2,1,,10,-40,-2,-10,-30,60,-30,16,-80,-45,-50,20,,10,70,20,80,70,30,70,40,100,55,70,40
R_2COr3g6alkM7CRb,1,2,1,,0,-93,60,81,53,-9,-10,0,0,0,0,-70,,100,99,0,19,2,9,61,100,100,100,100,100
R_3iPtgLBlaYDKdqH,1,2,2,,47,6,83,-9,1,20,10,-26,-64,-26,-29,-14,,23,85,11,96,76,75,15,41,95,35,34,28
R_1jkbFyPIVPhTKVX,1,2,1,,5,-5,16,-15,-5,13,13,1,-16,-1,12,28,,75,81,72,100,100,65,72,74,100,78,88,62
R_22wSzpnuExW2gqL,1,2,2,,24,14,78,7,12,0,24,8,-4,2,3,10,,65,86,15,88,84,91,72,85,100,89,95,80
R_37wPY4dGS5kIzxD,1,2,2,,-15,26,98,10,5,76,-38,-29,-91,-84,-92,-55,,59,70,2,83,89,21,38,43,100,84,92,55
R_ZKc1vsujpkF2z0B,1,2,2,,27,3,-4,-6,8,63,-26,-55,-42,-96,-37,-35,,52,91,100,85,72,2,30,100,100,100,52,65
R_1H7zwAZFbcKh6V3,1,2,1,,22,14,15,12,0,23,-40,3,-64,-8,-64,8,,22,71,19,65,69,67,63,71,83,30,83,80
R_1hSIaepHmMDxdyF,1,2,1,,4,48,70,6,21,4,-30,0,-83,37,-45,25,,80,35,30,60,70,57,31,45,95,55,60,0
R_27Ez2rbsqHkZFbH,1,2,2,,33,20,-7,31,49,29,8,-45,-66,-60,-55,18,,19,69,75,28,20,65,19,89,74,78,79,76
R_30jZW2gstBq3vm1,1,2,2,,-7,40,22,4,9,8,-39,13,-47,-47,-24,-14,,61,30,71,77,60,48,51,48,92,48,41,30
R_3rSeHCDeQsSzhUY,1,2,2,,27,20,51,-7,0,58,-7,-26,1,-28,-45,-26,,60,72,31,31,100,24,49,51,99,38,53,39
R_8Jqg73aIrmkgqlP,1,2,1,,33,19,37,-28,-8,12,-62,-41,-89,-45,-71,-15,,9,76,2,79,84,51,78,86,98,51,92,26
R_3FPrK6dZpYodP1z,1,2,2,,18,49,0,0,8,15,-9,-12,-10,-79,-39,-10,,52,35,100,80,62,69,46,52,75,79,39,20
R_5oteKnJYHjt9UvD,1,2,2,,16,1,2,-8,-4,3,87,-70,5,-76,-8,30,,62,92,92,100,100,93,8,83,91,86,94,0
R_diKjhawK7YN1kR3,1,2,1,,21,-6,24,29,12,26,-58,-52,-67,-42,-7,75,,64,37,76,45,72,20,65,89,100,82,19,21
R_ulXvBun7YdFS5vr,1,2,2,,-11,18,-30,0,58,70,-68,-18,10,-83,-100,0,,37,82,30,100,42,30,68,18,90,93,100,0
R_30ozVUKIiePwv54,1,2,2,,25,51,72,0,-1,59,8,10,40,10,-30,-43,,4,40,0,100,99,11,14,0,46,0,50,62
R_1Ce8Cr0Zu9OhUkA,1,2,1,,16,64,35,-27,-10,-20,-33,-29,-87,-35,-30,-44,,70,31,54,78,99,61,35,58,91,41,71,51
R_1kYQ7YeV72ppSyt,1,2,2,,60,34,24,-37,8,0,0,-19,-9,-19,-19,0,,40,66,76,90,92,60,19,19,100,19,19,0
R_1OOBSKOmGwMwgdr,1,2,2,,6,29,3,1,-3,28,-29,-23,-65,-46,-23,-21,,68,64,82,75,81,49,44,44,91,66,45,31
